0.002,0.002,0.002
3.6,3.7,3.8
14.4,15.7,21.5
14.0,16.9,13.9
17.6,20.6,27.2
20.8,22.9,25.4
3.601,3.7009999999999996,3.8009999999999997
14.401,15.701,21.500999999999998
14.001000000000001,16.901,13.901
17.601,20.601,27.201
20.801000000000002,22.901,25.401
3.601,3.701,3.8009999999999997
16.900000000000002,17.5,22.0
15.6,18.6,15.8
20.3,22.6,27.8
23.3,24.700000000000003,26.1
nan,15.700999999999999,21.501
nan,17.7,22.4
16.0,18.4,24.6
20.1,22.4,28.6
20.8,22.8,27.3
nan,16.901,13.901
nan,18.6,16.0
16.0,18.2,24.4
21.700000000000003,25.0,30.200000000000003
22.4,25.0,28.4
nan,20.601000000000003,27.201
nan,22.8,28.099999999999998
20.1,22.6,29.0
nan,25.200000000000003,30.2
nan,27.7,33.2
nan,22.901,25.401
nan,24.900000000000002,26.299999999999997
nan,22.9,27.1
nan,25.299999999999997,28.200000000000003
nan,27.7,33.5
16.901,17.501,22.000999999999998
15.600999999999999,18.601,15.801
20.301000000000002,22.601,27.801000000000002
23.301000000000002,24.701,26.101
nan,17.701,22.400999999999996
16.001,18.401,24.601
20.101,22.401,28.601
20.801000000000002,22.801000000000002,27.301
nan,18.601000000000003,16.001
16.001,18.201,24.401
nan,25.000999999999998,30.201
22.401000000000003,25.001,28.401
nan,22.801,28.101
nan,22.601,29.000999999999998
nan,25.201,30.201
nan,27.701,33.201
nan,24.901,26.301
nan,22.901,27.101
nan,25.301000000000002,28.201
nan,27.700999999999997,33.501
18.0,19.4,25.3
17.6,20.6,17.7
21.200000000000003,24.3,31.0
nan,26.6,29.2
nan,17.501,22.001
18.5,20.200000000000003,25.1
nan,24.2,29.1
nan,24.6,27.8
nan,18.601000000000003,15.801
17.6,19.900000000000002,26.3
nan,26.7,32.1
nan,26.700000000000003,30.3
nan,22.601000000000003,27.801000000000002
nan,24.599999999999998,29.6
nan,27.200000000000003,30.8
nan,29.7,33.8
nan,24.701000000000004,26.101000000000003
nan,24.7,27.8
nan,27.1,28.9
nan,29.5,34.2
nan,19.4,25.299999999999997
nan,32.6,35.4
nan,36.3,48.7
nan,38.599999999999994,46.9
nan,17.701,22.401
nan,32.6,34.4
nan,36.599999999999994,46.4
nan,38.7,44.7
nan,18.401,24.601000000000003
